Company,Position,Connected On
Bank of America,Software Engineer 1,25-Sep-20
Spinoza Centre for Neuroimaging,Student Intern,25-Sep-20
Deloitte,Cloud Consultant,25-Sep-20
Reactor Institute Delft ,Master Thesis Project,25-Sep-20
Caltech,Postdoctoral Scholar,24-Sep-20
HSBC,Data Analyst Decision Science,19-Sep-20
"NCFlexE, IIT Kanpur",Computer Vision Intern,19-Sep-20
Delft University of Technology,Ph.D.,16-Sep-20
TreeMania,Strategic Partnerships,14-Sep-20
Anouk Wipprecht,Owner / Head of Design ,14-Sep-20
eCom Logistics,Junior Business Analyist,09-Sep-20
Moodbit,Data Engineer,08-Sep-20
Erasmus MC,Master Thesis Project,04-Sep-20
ASML,Operational Supplier Coordinator,31-Aug-20
IBM,Associate Software Developer,31-Aug-20
University of Strasbourg,Visiting Researcher,31-Aug-20
KPMG India,SAP Analyst,28-Aug-20
Board Infinity,Data Science Career Coach,28-Aug-20
Arintra,Co-founder,28-Aug-20
Seervision AG,Computer Vision,27-Aug-20
Swaayatt Robots (स्वायत्त रोबोट्स),"Founder, CEO",27-Aug-20
AUDENSIEL TECHNOLOGIES SUD-OUEST,Ingénieur d’étude et de développement,26-Aug-20
CogniTensor,Human Resources Manager,26-Aug-20
Entropik Tech,Senior Data Scientist,25-Aug-20
Boeing,Airplane Level System Engineer,24-Aug-20
Vernacular.ai,Co-Founder & CEO,23-Aug-20
Tata Consultancy Services,Production Support Engineer,22-Aug-20
iNeuron.ai,Chief Data Scientist & CTO,22-Aug-20
iNeuron.ai,Chief AI Engineer & CEO ,22-Aug-20
Van Oord,PMS-OMS Beheerder,21-Aug-20
Shell,Customer Strategy & Performance Manager,21-Aug-20
Entropik Technologies,Founder & CEO,20-Aug-20
Entropik Tech,Senior Human Resources Manager,20-Aug-20
Stony Brook University,Graduate Teaching Assistant,19-Aug-20
NexStem | CortexBCI Inc.,CEO and Founder,19-Aug-20
DejaView.ai,Founder,19-Aug-20
GMAC Intelligence,Founder and CEO,19-Aug-20
Goa Institute of Management (GIM),Junior Corporate Relations and Placements Coordinator,17-Aug-20
Amazon,Applied Scientist - Machine Learning,16-Aug-20
Kuliza,Senior Software developer,11-Aug-20
Azulo Wealth Management,Wealth Manager,10-Aug-20
Lely,Intern,10-Aug-20
HSBC,Software Engineer,08-Aug-20
Arintra,Co-Founder and CTO,05-Aug-20
Eindhoven University of Technology,Professional Doctorate in Engineering (PDEng) trainee,28-Jul-20
Qualcomm,Associate Engineer,28-Jul-20
EY,Analyst,27-Jul-20
Antrigulum Labs Inc,Data Science Developer,26-Jul-20
graVITas VIT,Organiser,20-Jul-20
West Pharmaceutical Services,Lead AI/ML Engineer,13-Jul-20
Accord Innovations Private Limited,Founder & CEO,11-Jul-20
Center for Bio-separation and Technology (CBST),Undergraduate Student Researcher,11-Jul-20
Qure.ai,"Head of R&D, Co-founder ",11-Jul-20
Qure.ai,Co Founder & CEO,11-Jul-20
Hewlett Packard Enterprise,Cloud Developer,11-Jul-20
Booking.com,Full Stack Developer,11-Jul-20
Khoury Medical Equipment Co.,Product Consultant,10-Jul-20
Peeeks,Developer/Analyst,10-Jul-20
Delmic Asia ,Regional Project Manager,08-Jul-20
Chegg Inc.,Subject Matter Expert,07-Jul-20
Internshala,Internshala student partner,07-Jul-20
Google,Software Engineer,05-Jul-20
PSG Software Technologies,Machine Learning Engineer,05-Jul-20
Deloitte Consulting,Business Technology Analyst,05-Jul-20
Xfinito Biodesigns,Founder,05-Jul-20
PALLAS,Trainee Instrumentation and Control Systems,02-Jul-20
Philips,Software Engineer,29-Jun-20
TMC,Business Manager TMC Software,25-Jun-20
Joint,Digital Marketing Intern,20-Jun-20
Holland Proton Therapy Centre,Master Thesis Project,19-Jun-20
byBr,Co-Founder & CEO,15-Jun-20
H2O.ai,Data Science Evangelist,15-Jun-20
Hindustan Zinc Limited,Process Engineer,14-Jun-20
General Electric Manufacturing Company (GEMAC),Piping & Support Design Engineer,14-Jun-20
Sinhgad Institute of Technology & Science,Assistant Professor,11-Jun-20
"Mitsubishi Electric Power Products, Inc.",Power System Engineer,09-Jun-20
Tata Communications,Technical Associate,09-Jun-20
Coursera,Course Mentor (Johns Hopkins University),05-Jun-20
Private,Professional,05-Jun-20
Seeker Media,"Podcast Writer, Host and Producer",04-Jun-20
Volvo Group,Master Thesis Project,04-Jun-20
KPIT,Autosar Systems Developer,03-Jun-20
Sensor technologies,Chief Architect,03-Jun-20
Ai Highway Inc,Founder,03-Jun-20
DCube,Software Engineer,02-Jun-20
Infinite-Sum Modeling Inc.,Data Science Consultant,02-Jun-20
Siemens,Research Engineer,02-Jun-20
"University of Otago, Christchurch campus",Researcher (Ph.D),01-Jun-20
Quora,Freelance Writer,01-Jun-20
Publicis Sapient,Contingent SDE at Goldman Sachs,31-May-20
DELMIC B.V.,Jr. Mechanical Designer,31-May-20
ASML,Mechatronics Engineer,30-May-20
Saigeware Technologies,AI software Engineer,30-May-20
GenieTalk Private Limited,Human Resources Manager,29-May-20
Intain Inc,Founder and CEO,29-May-20
KPMG India,"Partner & Head of Lighthouse - Analytics, AI & Data",29-May-20
DELMIC BV,CEO and co-founder,29-May-20
Clinikk Healthcare (Ohealer Healthcare Services Pvt. Ltd.),Co-Founder,29-May-20
CamfyVision Innovations,Computer Vision and AI Developer,26-May-20
Flinkhub,VP of Partnerships,26-May-20
Oblivion Techs,Founder,26-May-20
Intel Corporation,Graphics Software Engineer,21-May-20
MERIT SOFTWARE SERVICES PRIVATE LIMITED,Research Analyst,19-May-20
Goldman Sachs,Development Engineer ,18-May-20
ABP Network,Business Management,18-May-20
Nuclear Promise X,Software Development Intern,18-May-20
RISE SICS,Senior Research Scientist,18-May-20
gnani.ai,Co-Founder & CTO,18-May-20
deepkapha.ai,Founder and AI Researcher,16-May-20
MellonAI,Machine Learning Intern,16-May-20
Saarthi.ai,Conversational AI Lead,14-May-20
Adobe,Computer Scientist,14-May-20
Microsoft,Volunteer- Microsoft Philanthropies TEALS Program,13-May-20
Media.net,Database Developer,13-May-20
HAWC - The official Health and Wellness Club of IMT Ghaziabad,Junior Committee Member,08-May-20
