Company,Position,Connected On
VIT University(Vellore Campus),Associate Professor,14-Feb-17
"VIT university,chennai",Associate professor,14-Feb-17
NXP Semiconductors,Digital Validation Engineer,13-Feb-17
Vectra LLC,Product Configuration and Customer Support - Auto2D,13-Feb-17
MiQ Digital India,Software Engineer II,13-Feb-17
University of Delhi,Professor,10-Feb-17
HighRadius,Lead Consultant (Techno Functional Consultant),10-Feb-17
MAN Truck & Bus SE,Master Thesis Project,09-Feb-17
Timwi Consulting,Consultant,08-Feb-17
,,08-Feb-17
vaibhav international,"cultured marble, enginering stone ",08-Feb-17
iNetProcess,Chef de projet,07-Feb-17
Adecco,Chargée de recrutement ,06-Feb-17
kaizenearth,Co-Founder,05-Feb-17
Université Paris Diderot,Directeur de l'UFR Etudes interculturelles de langues appliquées,05-Feb-17
FactR,Software Engineer,04-Feb-17
Tata Consultancy Services,Deployment,03-Feb-17
Vellore Institute of Technology,Assistant Professor,02-Feb-17
Mercedes-Benz Research and Development India,Engineer,01-Feb-17
Siemens Healthineers,Engineer - Design and Development,01-Feb-17
Bank of America,Sr Tech Associate,27-Jan-17
Novartis,Release / Deployment Engineer (DevOps),27-Jan-17
CheaprEats,Advisor,27-Jan-17
UnitedHealth Group,Associate Software Engineer - II,25-Jan-17
Fincley consulting,Consultant Banque / Finance,24-Jan-17
Increff,SDE 1,23-Jan-17
Wipro Limited,Associate Salesforce Consultant,23-Jan-17
Sonata Software,System Analyst,23-Jan-17
Mantu,Regional Recruitment Director ,16-Jan-17
Kotak Mahindra Old Mutual Life Insurance,Senior Financial Consultant Services,16-Jan-17
Université Denis Diderot (Paris VII),Directeur UFR EILA,16-Jan-17
Wipro Limited,Project Engineer,16-Jan-17
AstraZeneca,Team Lead,16-Jan-17
"Vellore Institute of Technology, Chennai","Professor, School of Electronics Engineering",11-Jan-17
Google,Technical Solutions Engineer,04-Jan-17
Cisco,Doctorant,02-Jan-17
VIT-AP University ,Assistant Director  - Academic Staff College,02-Jan-17
Batt:RE,Supply Chain Engineer,02-Jan-17
Red Hat,Software Engineer,31-Dec-16
SeviTech Systems Pvt. Ltd.,Talent Acquisition Specialist,28-Dec-16
AFIGEC,Responsable Marketing et Communication ,15-Dec-16
G R Motors,Managing Partner,14-Dec-16
L'Oeuvre d'Orient,Volontaire,14-Dec-16
AntWorks,Associate Data Scientist,14-Dec-16
Emploi Nouvelle Donne ,Audit,14-Dec-16
Intel Corporation,Deep Learning R&D Engineer,13-Dec-16
NTT DATA,Technical solutions architecture Sr. Analyst,07-Dec-16
Bilingual LS,Operations Coordinator,04-Dec-16
Afford Medical Technologies Pvt. Ltd.,Vice President,04-Dec-16
Infosys,Product Development Engineer,04-Dec-16
Cognizant,Programmer Analyst,04-Dec-16
ekWateur,Renewable energy engineer in training,04-Dec-16
Arista Networks,Technical Solution Engineer,28-Nov-16
Olympp,CEO & Co-founder ,25-Nov-16
PW Consultants,Consultante - Monétique & Moyens de paiement,22-Nov-16
Vellore Institute of Technology,Assistant Professor,19-Nov-16
Siemens Gamesa,Software Developer,27-Oct-16
Centre for Precision Metrology,Research Assistant,23-Oct-16
Wishlist,Software Engineer,23-Oct-16
The World Adventures हिन्दी,Founder,23-Oct-16
Appirio,Associate Software Engineer,23-Oct-16
EdgeQ Inc.,Member Of Technical Staff,23-Oct-16
,,23-Oct-16
Dell Technologies,Global Lead,23-Oct-16
Sumeru Enterprise Tiger,Deputy Chief Technology Officer,23-Oct-16
CityCash | Tap To Pay,Product Associate,23-Oct-16
SmartBrothers,Président,14-Oct-16
Extia,Ingénieur consultant,27-Sep-16
Amaris,Senior Manager,16-Sep-16
Amaris Consulting,Consultant chef de projet,15-Sep-16
Analytics Vidhya,Data Scientist,13-Sep-16
APSOLUE,Chef de projet Mobilité/Dyanmics 365,13-Sep-16
Protectline (JV Orange-Groupama),Chef de Projets,12-Sep-16
Business Octane Solutions Pvt. Ltd.,Business Specialist - Video Collaboration & Collaborative Teaching,11-Sep-16
Grofers,Software Engineer,11-Sep-16
DEKA Research & Development,Machine Learning Engineer,31-Aug-16
ShareChat,Data Analyst,30-Aug-16
NVIDIA,Deep Learning Architect,27-Aug-16
Microsoft,Performance Modeling Engineer,27-Aug-16
,,26-Aug-16
"OBILOG, groupe AWENSYS",ERP Consultant,25-Aug-16
Zenatix Solutions,Program Manager,23-Aug-16
VITC CYCLOTHON 2017,Convenor,23-Aug-16
Universign,Chef de projet Customer Success,20-Aug-16
Societe Generale Corporate and Investment Banking - SGCIB,"Devops Analyst, Commodity Market",20-Aug-16
VIT Chennai,Assistant Professor (Senior),18-Aug-16
OVHcloud,Corporate Strategy Analyst,17-Aug-16
PwC India,Associate,17-Aug-16
EFFILUX,Montage câblage d'éclairage à LED ,16-Aug-16
AXA,Penetration Tester,16-Aug-16
PwC,Senior Associate - Risk Assurance & Advisory Services,16-Aug-16
Tech Mahindra,Lead Software Architect,16-Aug-16
INGIMA,Ingénieur intégration logiciel,10-Aug-16
ESILV - Ecole Supérieure d'Ingénieurs Léonard de Vinci,Responsable département Ingénierie Financière,08-Aug-16
Amaris Consulting,Référent XDSL,07-Aug-16
ZS,Business Technology Analyst,02-Aug-16
Adobe,Senior Software Test Engineer,31-Jul-16
Cuemath,Senior Manager - International Business,26-Jul-16
,,21-Jul-16
Beijaflore,Supervising Associate Cyber Risk & Security,12-Jul-16
Deloitte India (Offices of the US),Consultant,08-Jul-16
GfK,Software Engineer,07-Jul-16
Extia,Ingenieur Consultant - Société Générale,05-Jul-16
America & Beyond LLC,CMO and Head of eCommerce,05-Jul-16
SFR Business,Service Delivery Manager (Ext. ALTEN),29-Jun-16
Tata Steel,"Head Electrical Maintenance, New Bar Mill",28-Jun-16
KPMG,Financial Auditor,27-Jun-16
Vellore Institute of Technology,Assistant Professor Senior,27-Jun-16
Messier-Bugatti-Dowty,Apprenti Ingenieur ISEP (Institut Supérieur d'Electronique de Paris),25-Jun-16
RLE INDIA,Post Graduate Engineer Trainee,24-Jun-16
FAYAT ENERGIE SERVICES,Ingénieur études de prix,24-Jun-16
Fabheads Automation,Mechanical Design Engineer,24-Jun-16
Deloitte India (Offices of the US),Business Technology Analyst,24-Jun-16
Wipro Digital,Project Engineer,24-Jun-16
Allianz France,Technical Lead,23-Jun-16
Siemens,Responsable de lot Essais Usine système CBTC,23-Jun-16
IBM,Data Scientist,22-Jun-16
Capgemini,Product Owner,21-Jun-16
Amazon,Software Engineer,21-Jun-16
Culinaries,Co-fondateur,19-Jun-16
Thales,System Engineer,16-Jun-16
eLitmus Evaluation Pvt Ltd,Business Associate,15-Jun-16
Editus Luxembourg,Data Scientist,15-Jun-16
Gt robotique,Responsable Service Après-Vente,15-Jun-16
Pernod Ricard,Master Data Project Manager,15-Jun-16
WeFiiT,Product and Quality management IT consultant ,08-Jun-16
Larsen & Toubro,Senior Engineer,08-Jun-16
Tekie,Building Tekie | Scaling & Operations | Educator,04-Jun-16
NTPC Limited,Internship,04-Jun-16
Total,VIE - Digital and Innovation Engineer ,31-May-16
equal1.labs,Chief Technology Officer,30-May-16
Pulse.digital Maroc,Ingénieur Support,30-May-16
Accenture,Junior HRIS Consultant,30-May-16
Wavestone,Consultante Cybersécurité ,27-May-16
Algolia,Enterprise BDR,24-May-16
Addventa,Consultante technico-fonctionnelle en Intelligence Artificielle,22-May-16
Groupe LaMarne,Associé,22-May-16
Capgemini,Business & Technology Transformation,19-May-16
PwC France,Consultant Data & Analytics,19-May-16
,,18-May-16
SMART'EAZ,Gérant SARL/ CTO / Développeur Mobile / Développeur Web / Chef de projet,12-May-16
Ingénierie@Lyon,Promotion compétences en Ingénierie et développement des partenariats public-privé,09-May-16
Thales,Ingénieur Java EE / AngularJs  / DevOps,03-May-16
Deloitte India (Offices of the US),RFA Software Engineer 1,03-May-16
BNP Paribas,IT Business Analyst,03-May-16
ISEP Voile,L'association de voile de l'ISEP,02-May-16
Hilt Brands ,Business Growth Strategist,01-May-16
Vellore Institute Of Technology,Professor,01-May-16
Institut Supérieur d'Electronique de Paris (ISEP),Assistante pédagogique,26-Apr-16
Huawei,Computer Vision Research Engineer,18-Apr-16
Standard Chartered GBS,Analyst,18-Apr-16
Portraitflip,Co-Founder,18-Apr-16
Laboratoire d'Optique Atmosphérique ,Ingénieur de recherche en traitement de données scientifiques / traitement d'images multi-spectrales,18-Apr-16
Shiprocket,Business Analyst,17-Apr-16
GRIHA Council,Intern,16-Apr-16
,,16-Apr-16
ZS,Decision Analytics Associate,13-Apr-16
"RENAULT NISSAN MITSUBISHI ALLIANCE, INDIA",Software Engineer,12-Apr-16
Bajaj Capital Ltd,Product Development & Strategy  Intern,11-Apr-16
Standard chartered global business services private ltd,Senior Analyst,11-Apr-16
SportEasy,Android developer,11-Apr-16
,,11-Apr-16
Hy.ly,Regional Sales and Business Development,11-Apr-16
Honda Cars India Ltd,Research Executive,11-Apr-16
ActiveEon,Ingénieur R&D - Sécurité Cloud,09-Apr-16
Beijaflore,Ingénieur Etudes et Développement .NET,09-Apr-16
TMC,Business Manager,09-Apr-16
SMART Home Healthcare Solutions,Development Associate,08-Apr-16
Vedantu,Business Development Manager  (Team Leader),07-Apr-16
VIT University,Assistant Professor,07-Apr-16
B D,Agent logistique,05-Apr-16
Bet Mekideche,Project Manager and Head of IT,04-Apr-16
Cisco,Software engineer 2,03-Apr-16
Saint-Gobain,Responsable Data et IA,30-Mar-16
Total,Data Valorisation Analyst,30-Mar-16
Mappy,Product Owner Web,29-Mar-16
ISG (Information Services Group),Consultant,28-Mar-16
Radiall,Concepteur Antennes,28-Mar-16
ZS,Buisness Technology Associate,28-Mar-16
EY,Senior consultant - Financial Market Advisory,28-Mar-16
Amaris,Business analyst in International Organization,28-Mar-16
Deloitte,"Senior Manager, New Ventures Accelerator",28-Mar-16
Comforth - Groupe Magellan Partners,Sénior Consultante Salesforce chez Comforth - Groupe Magellan Partners,27-Mar-16
EDF,Contrôleur de gestion,27-Mar-16
Thales,System Engineer,27-Mar-16
Beijaflore ,Consultant senior - Digital Advisory,27-Mar-16
Societe Generale Corporate and Investment Banking - SGCIB,Project Manager l Operation Trade Support Unit,27-Mar-16
,,27-Mar-16
D-Link Middle East & Africa,Key Account Manager,27-Mar-16
GROOPTOWN,Software Engineer / CEO,26-Mar-16
_VOIS,Senior Network Security Engineer,25-Mar-16
Altran,Project Leader,25-Mar-16
InfluSpy,CEO ,25-Mar-16
Alpha Networks ,Concepteur et développeur mobile iOS,24-Mar-16
Wurth Electronics Services India Pvt Ltd,Technical Sales Engineer,24-Mar-16
Europcar,CP/Designer IT,24-Mar-16
Native Instruments,Instrument Developer,24-Mar-16
Marelli,Engineer,24-Mar-16
Bouygues Telecom,Développeur Full Stack,24-Mar-16
Amadeus Labs,DevOps Engineer,24-Mar-16
Texas Instruments,Field Application Engineer,23-Mar-16
Vellore Institute of Technology,Deputy Director (Software Development Centre),23-Mar-16
OTOROX,CEO & Co-Founder,23-Mar-16
INTENTO DESIGN,Founder & CEO,23-Mar-16
Qualcomm,Staff Engineer Analog/Mixed Signal design,23-Mar-16
AUSY,Ingénieur consultant chez Sagem Défense et Sécurité,23-Mar-16
HCL Technologies,Lead Engineer,14-Mar-16
Intel Corporation,Design Verification Engineer,13-Mar-16
Self-employed,Owner,11-Mar-16
NEOMA ALUMNI,Executive Director,08-Mar-16
ISEP,Assistant Professor,08-Mar-16
Vellore Institute of Technology,Associate Professor,08-Mar-16
Norwegian University of Science and Technology (NTNU),Learning Assistant,08-Mar-16
L&L Partners,Associate,08-Mar-16
LIRMM - CNRS,CNRS Researcher in Automatic Control & Robotics,07-Mar-16
National Hydro-electric Power Corporation,Intern,03-Mar-16
Wind world india,wind O&M lead,03-Mar-16
Standard Chartered Bank,Software Developer,02-Mar-16
,,02-Mar-16
Institut Supérieur d'Electronique de Paris (I.S.E.P.),Professor,02-Mar-16
CNAM,Directeur Ecole Ingénieur,02-Mar-16
